"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1","WntA",19.4257811459069,26.4804978304534,15.192951135179,0.573741144613478,-0.801528113412442,0.136510197767208,0.370250376586296
"2","WntB",1.06284616463125,1.25535715597338,0.947339569825971,0.75463748728259,-0.40614432581095,0.978112175258611,1
"3","WntC",18.3375301857817,17.5192791373554,18.8284808148374,1.07472919788637,0.103973186248998,1,1
"4","WntD",1.76101654143017,1.97511958339229,1.6325547162529,0.826559935904723,-0.274808658192048,0.976387081442949,1
"5","WntE",10.520783749011,15.2549128410037,7.68030629381542,0.503464449378663,-0.990038184611328,0.250569417961768,0.530617590977862
"6","WntF",72.3618141374091,32.5286160280462,96.2617330030268,2.95929383900102,1.56525295405891,0.0274189910682379,0.116127491583125
"7","WntG",17.8099720705959,33.7030909291852,8.27410075544226,0.245499760625139,-2.02620647704839,0.000140042646694962,0.00159920488119681
"8","WntH",16.3640143170844,29.3388987844694,8.57908363665344,0.292413280391928,-1.77391925992913,0.077955148872732,0.244033509514639
"9","WntI",32.220107123359,49.6832039632836,21.7422490194042,0.437617691392687,-1.19225703233144,0.00451838662960237,0.0295748943028519
"10","WntJ",12.8191800503335,33.3097867069136,0.524816056385388,0.0157556114364569,-5.98799044689324,1.67636578756417e-07,3.0174584176155e-06
"11","WntK",22.2992320015587,33.8305160769949,15.380461556297,0.454632779508673,-1.13722638712908,0.0322566501706737,0.129026600682695
"12","WntL",28.7988433377772,40.2012559001044,21.9573958003809,0.546186812047427,-0.872533614953831,0.059845777450584,0.205185522687717
"13","WntM",15.5356002265722,29.1000315441159,7.39694143604595,0.254190151815888,-1.97601995833524,0.0038998870422312,0.0280791867040646
"14","WntN",7.27472710789096,10.9819558566926,5.05038985861,0.459880728397958,-1.12066835298,0.200530763459228,0.456080389921684
"15","WntO",13.6635733305621,17.6568077512347,11.2676326781585,0.638146647848652,-0.648040097523114,0.348824527178324,0.64398374248306
"16","WntP",26.9868725449143,27.1556641824528,26.8855975623913,0.990054869649036,-0.0144196121426325,0.928770981004196,1
"17","WntQ",1.0312152016846,1.24049179750021,0.905649244195236,0.730072738909085,-0.45388788454467,0.920608956769066,1
"18","WntR",27.7123824891711,39.4869312383613,20.647653239657,0.522898401879301,-0.93539743396696,0.0383683176668844,0.145395730106088
"19","WntS",39.7579785913237,33.601752302711,43.4517143644914,1.29313834507928,0.370876628653944,0.520682282750536,0.766154818660254
"20","WntT",14.3771656319996,18.229613971977,12.0656966280131,0.661873402616247,-0.595372797618687,0.371374148464398,0.652169236327723
"21","WntU",4.02577745329759,8.31238830193471,1.45381094411532,0.174896899820831,-2.51542337825646,0.027205093206564,0.116127491583125
"22","FzdA",8.0432426309458,7.8119620560024,8.18201097591183,1.04736952346371,0.0667705307253164,0.94749719180562,1
"23","FzdB",9.35075268278129,6.23490858728532,11.2202591400789,1.79958679153052,0.847665683085747,0.268670830425286,0.546906841863857
"24","FzdC",14.4072727033004,19.0331307845591,11.6317578545452,0.611132135128374,-0.710443750711665,0.202702395520748,0.456080389921684
"25","FzdD",38.5876697064705,49.7139561850128,31.911897819345,0.641910245496927,-0.639556506930524,0.0765149087309109,0.244033509514639
"26","Lrp5",309.02722100551,278.998997538518,327.044155085705,1.17220548450377,0.229225492532751,0.446495869648064,0.714393391436903
